pub_num,my_assignee,fwd_pub_num,assignee
US7777777B2,Cisco,US20090238083A1,Fujitsu 
US7777777B2,Cisco,US8872880B1,Juniper Networks
US7777777B2,Cisco,US20100220195A1,Cisco Inc.
US7777777B2,Cisco,US10148910B2,"Facebook, Inc."
US7777777B2,Cisco,US20100220195A1,Dong Li
US7777777B2,Cisco,US20110149013A1,Gautam Khot
US7777777B2,Cisco,US7107339B1,"Webmethods, Inc."
US7777777B2,Cisco,US8255502B2 ,Oracle International Corporation
US7777777B2,Cisco,US8576270B1,"Glowpoint, Inc."
US7777777B2,Cisco,US20070002777A1 ,"Glowpoint, Inc."
US7777777B2,Cisco,US20070100940A1 ,"Glowpoint, Inc."
US7777777B2,Cisco,US8260917B1,"At&T Mobility Ii, Llc"
US10148910B2,Facebook Inc,US20190215483A1,"Facebook, Inc."
US10148910B2,Facebook Inc,US20190289046A1 ,"8eo, Inc."
US10148910B2,Facebook Inc,US10523625B1,Snap Inc.
US10148910B2,Facebook Inc,US10831824B1 ,Koye Corp.
US10148910B2,Facebook Inc,US10938870B2,"8eo, Inc."
US10148910B2,Facebook Inc,US20180308067A1 ,"Microsoft Technology Licensing, Llc"
US20020082730A1,Microsoft Technology Licensing LLC,US20020129089A1,"Vendaria, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,WO2003073743A2,"Oak Technology, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,US20030182139A1,Microsoft Corporation
US20020082730A1,Microsoft Technology Licensing LLC,US20040049797A1,"Oak Technology, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,US20050091597A1,Jonathan Ackley
US20020082730A1,Microsoft Technology Licensing LLC,US20050289475A1,Geoffrey Martin
US20020082730A1,Microsoft Technology Licensing LLC,US20050081155A1,Geoffrey Martin
US20020082730A1,Microsoft Technology Licensing LLC,US7330483B1,At&T Corp.
US20020082730A1,Microsoft Technology Licensing LLC,US20080109095A1 ,"Netstreams, Llc"
US20020082730A1,Microsoft Technology Licensing LLC,US20090055007A1 ,John Grigsby
US20020082730A1,Microsoft Technology Licensing LLC,US8402494B1 ,Conviva Inc.
US20020082730A1,Microsoft Technology Licensing LLC,US20150012941A1,Sony Corporation
US20020082730A1,Microsoft Technology Licensing LLC,US9124601B2,Conviva Inc.
US20070100940A1,"Glowpoint, Inc",US20070002777A1 ,Glowpoint
US20020082730A1,Microsoft Technology Licensing LLC,US20020129089A1,"Vendaria, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,WO2003073743A2,"Oak Technology, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,US20030182139A1,Microsoft Corporation
US20020082730A1,Microsoft Technology Licensing LLC,US20040049797A1,"Oak Technology, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,US20050091597A1,Jonathan Ackley
US20020082730A1,Microsoft Technology Licensing LLC,US20050289475A1,Geoffrey Martin
US20020082730A1,Microsoft Technology Licensing LLC,US20050081155A1,Geoffrey Martin
US20020082730A1,Microsoft Technology Licensing LLC,US7330483B1,At&T Corp.
US20020082730A1,Microsoft Technology Licensing LLC,US20080109095A1 ,"Netstreams, Llc"
US20020082730A1,Microsoft Technology Licensing LLC,US20090055007A1 ,John Grigsby
US20020082730A1,Microsoft Technology Licensing LLC,US8402494B1 ,Conviva Inc.
US20020082730A1,Microsoft Technology Licensing LLC,US20150012941A1,Sony Corporation
US20020082730A1,Microsoft Technology Licensing LLC,US9124601B2,Conviva Inc.
US20020082730A1,Microsoft Technology Licensing LLC,US20020129089A1,"Vendaria, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,WO2003073743A2,"Oak Technology, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,US20030182139A1,Microsoft Corporation
US20020082730A1,Microsoft Technology Licensing LLC,US20040049797A1,"Oak Technology, Inc."
US20020082730A1,Microsoft Technology Licensing LLC,US20050091597A1,Jonathan Ackley
US20020082730A1,Microsoft Technology Licensing LLC,US20050289475A1,Geoffrey Martin
US20020082730A1,Microsoft Technology Licensing LLC,US20050081155A1,Geoffrey Martin
US20020082730A1,Microsoft Technology Licensing LLC,US7330483B1,At&T Corp.
US20020082730A1,Microsoft Technology Licensing LLC,US20080109095A1 ,"Netstreams, Llc"
US20020082730A1,Microsoft Technology Licensing LLC,US20090055007A1 ,John Grigsby
US20020082730A1,Microsoft Technology Licensing LLC,US8402494B1 ,Conviva Inc.
US20020082730A1,Microsoft Technology Licensing LLC,US20150012941A1,Sony Corporation
US20020082730A1,Microsoft Technology Licensing LLC,US9124601B2,Conviva Inc.
TestPub_Num, TestMy_Assignee, TestFwd_Pub, TestAssignee
